hole_id;depth_from;depth_to;quality_code100;quality_code110;samp_id
LBU_05_11;29;30;3.3;3.3;
LBU_05_11;30;31;3.3;3.3;
LBU_05_11;31;32;3.3;3.3;
LBU_05_11;32;33;3.3;3.3;
LBU_05_11;33;34;3.3;3.3;
LBU_05_11;34;35;3.3;3.3;
LBU_05_11;35;36;3.3;3.3;
LBU_05_11;36;37;3.3;3.3;
LBU_05_11;37;38;3.3;3.3;
LBU_05_11;38;39;3.3;3.3;
LBU_05_11;39;40;3.3;3.3;
LBU_05_11;40;41;3.3;3.3;
LBU_05_11;41;42;3.3;3.3;
LBU_05_11;42;43;3.3;3.3;
LBU_05_11;43;44;3.3;3.3;
LBU_05_11;44;45;3.3;3.3;
LBU_05_11;45;46;3.3;3.3;
LBU_05_11;46;47;3.3;3.3;
LBU_05_11;47;48;3.3;3.3;
LBU_05_11;48;49;3.3;3.3;
LBU_05_11;49;50;3.3;3.3;
LBU_05_12;2;3;1;1;
LBU_05_12;3;4;1;1;
LBU_05_12;4;5;1;1;
LBU_05_12;5;6;1;1;
LBU_05_12;6;7;1;1;
LBU_05_12;7;8;1;1;
LBU_05_12;8;9;2;2;
LBU_05_12;9;10;2;2;
LBU_05_12;10;11;2;2;
LBU_05_12;11;12;2;2;
LBU_05_12;12;13;2;2;
LBU_05_12;13;14;2;2;
LBU_05_12;14;15;2;2;
LBU_05_12;15;16;2;2;
LBU_05_12;16;17;2;2;
LBU_05_12;17;18;3.1;3.1;
LBU_05_12;18;19;3.25;3.2;
LBU_05_12;19;20;3.2;3.2;
LBU_05_12;20;21;3.2;3.2;
LBU_05_12;21;22;3.3;3.2;
LBU_05_12;22;23;3.3;3.2;
LBU_05_12;23;24;3.3;3.2;
LBU_05_12;24;25;3.3;3.2;
LBU_05_12;25;26;4;4;
LBU_05_12;26;27;4;4;
LBU_05_12;27;28;4;4;
LBU_05_12;28;29;4;4;
LBU_05_12;29;30;4;4;
LBU_05_12;30;31;4;4;
LBU_05_12;31;32;4;4;
LBU_05_12;32;33;4;4;
LBU_05_12;33;34;4;4;
LBU_05_12;34;35;4;4;
LBU_05_12;35;36;4;4;
LBU_05_12;36;37;4;4;
LBU_05_12;37;38;4;4;
LBU_05_12;38;39;4;4;
LBU_05_12;39;40;4;4;
LBU_05_12;40;41;4;4;
LBU_05_12;41;42;4;4;
LBU_05_12;42;43;4;4;
LBU_05_12;43;44;4;4;
LBU_05_12;44;45;4;4;
LBU_05_12;45;46;4;4;
LBU_05_12;46;47;5;5;
LBU_05_12;47;48;5;5;
LBU_05_12;48;49;5;5;
LBU_05_12;49;50;5;5;
LBU_05_13;2;3;1;1;
LBU_05_13;3;4;1;1;
LBU_05_13;4;5;1;1;
LBU_05_13;5;6;2;2;
LBU_05_13;6;7;2;2;
LBU_05_13;7;8;2;2;
LBU_05_13;8;9;2;2;
LBU_05_13;9;10;2;2;
LBU_05_13;10;11;2;2;
LBU_05_13;11;12;2;2;
LBU_05_13;12;13;2;2;
LBU_05_13;13;14;2;2;
LBU_05_13;14;15;2;2;
LBU_05_13;15;16;2;2;
LBU_05_13;16;17;2;2;
LBU_05_13;17;18;3.1;3.1;
LBU_05_13;18;19;3.2;3.2;
LBU_05_13;19;20;3.2;3.2;
LBU_05_13;20;21;3.2;3.2;
LBU_05_13;21;22;3.2;3.2;
LBU_05_13;22;23;3.2;3.2;
LBU_05_13;23;24;3.2;3.2;
LBU_05_13;24;25;3.2;3.2;
LBU_05_13;25;26;3.2;3.2;
LBU_05_13;26;27;3.3;3.2;
LBU_05_13;27;28;3.3;3.2;
LBU_05_13;28;29;3.3;3.2;
LBU_05_13;29;30;3.3;3.2;
LBU_05_13;30;31;3.3;3.2;
LBU_05_13;31;32;3.3;3.3;
LBU_05_13;32;33;3.3;3.3;
LBU_05_13;33;34;3.3;3.3;
LBU_05_13;34;35;3.3;3.3;
LBU_05_13;35;36;3.3;3.3;
LBU_05_13;36;37;3.3;3.3;
LBU_05_13;37;38;3.3;3.3;
LBU_05_13;38;39;3.3;3.3;
LBU_05_13;39;40;4;4;
LBU_05_13;40;41;4;4;
LBU_05_13;41;42;4;4;
LBU_05_13;42;43;4;4;
LBU_05_13;43;44;4;4;
LBU_05_13;44;45;4;4;
LBU_05_13;45;46;4;4;
LBU_05_13;46;47;4;4;
LBU_05_13;47;48;4;4;
LBU_05_13;48;49;4;4;
LBU_05_13;49;50;4;4;
LBU_05_14;2;3;1;1;
LBU_05_14;3;4;1;1;
LBU_05_14;4;5;1;1;
LBU_05_14;5;6;2;2;
LBU_05_14;6;7;2;2;
LBU_05_14;7;8;2;2;
LBU_05_14;8;9;2;2;
LBU_05_14;9;10;2;2;
LBU_05_14;10;11;2;2;
LBU_05_14;11;12;2;2;
LBU_05_14;12;13;2;2;
LBU_05_14;13;14;2;2;
LBU_05_14;14;15;2;2;
LBU_05_14;15;16;2;2;
LBU_05_14;16;17;2;2;
LBU_05_14;17;18;3.1;3.1;
LBU_05_14;18;19;3.2;3.2;
LBU_05_14;19;20;3.2;3.2;
LBU_05_14;20;21;3.2;3.2;
LBU_05_14;21;22;3.2;3.2;
LBU_05_14;22;23;3.2;3.2;
LBU_05_14;23;24;3.2;3.2;
LBU_05_14;24;25;3.2;3.2;
LBU_05_14;25;26;3.2;3.2;
LBU_05_14;26;27;3.2;3.2;
LBU_05_14;27;28;3.2;3.2;
LBU_05_14;28;29;4;4;
LBU_05_14;29;30;4;4;
LBU_05_14;30;31;4;4;
LBU_05_14;31;32;4;4;
LBU_05_14;32;33;4;4;
LBU_05_14;33;34;4;4;
LBU_05_14;34;35;4;4;
LBU_05_14;35;36;4;4;
LBU_05_14;36;37;4;4;
LBU_05_14;37;38;4;4;
LBU_05_14;38;39;4;4;
LBU_05_14;39;40;4;4;
LBU_05_14;40;41;4;4;
LBU_05_14;41;42;4;4;
LBU_05_14;42;43;4;4;
LBU_05_14;43;44;4;4;
LBU_05_14;44;45;4;4;
LBU_05_14;45;46;4;4;
LBU_05_14;46;47;4;4;
LBU_05_14;47;48;4;4;
LBU_05_14;48;49;4;4;
LBU_05_14;49;50;4;4;
LBU_05_15;2;3;1;1;
LBU_05_15;3;4;1;1;
LBU_05_15;4;5;2;2;
LBU_05_15;5;6;2;2;
LBU_05_15;6;7;2;2;
LBU_05_15;7;8;2;2;
LBU_05_15;8;9;2;2;
LBU_05_15;9;10;2;2;
LBU_05_15;10;11;2;2;
LBU_05_15;11;12;2;2;
LBU_05_15;12;13;2;2;
LBU_05_15;13;14;2;2;
LBU_05_15;14;15;2;2;
LBU_05_15;15;16;2;2;
LBU_05_15;16;17;2;2;
LBU_05_15;17;18;3.1;3.1;
LBU_05_15;18;19;3.2;3.2;
LBU_05_15;19;20;3.2;3.2;
LBU_05_15;20;21;3.2;3.2;
LBU_05_15;21;22;3.2;3.2;
LBU_05_15;22;23;3.2;3.2;
LBU_05_15;23;24;3.2;3.2;
LBU_05_15;24;25;3.2;3.2;
LBU_05_15;25;26;3.2;3.2;
LBU_05_15;26;27;3.2;3.2;
LBU_05_15;27;28;3.2;3.2;
LBU_05_15;28;29;3.2;3.2;
LBU_05_15;29;30;4;4;
LBU_05_15;30;31;4;4;
LBU_05_15;31;32;4;4;
LBU_05_15;32;33;4;4;
LBU_05_15;33;34;4;4;
LBU_05_15;34;35;4;4;
LBU_05_15;35;36;4;4;
LBU_05_15;36;37;4;4;
LBU_05_15;37;38;4;4;
LBU_05_15;38;39;4;4;
LBU_05_15;39;40;4;4;
LBU_05_15;40;41;4;4;
LBU_05_15;41;42;4;4;
LBU_05_15;42;43;4;4;
LBU_05_15;43;44;4;4;
LBU_05_15;44;45;4;4;
LBU_05_15;45;46;4;4;
LBU_05_15;46;47;4;4;
LBU_05_15;47;48;4;4;
LBU_05_15;48;49;4;4;
LBU_05_15;49;50;4;4;
LBU_05_16;2;3;1;1;
LBU_05_16;3;4;1;1;
LBU_05_16;4;5;1;1;
LBU_05_16;5;6;1;1;
LBU_05_16;6;7;2;2;
LBU_05_16;7;8;2;2;
LBU_05_16;8;9;2;2;
LBU_05_16;9;10;2;2;
LBU_05_16;10;11;2;2;
LBU_05_16;11;12;2;2;
LBU_05_16;12;13;2;2;
LBU_05_16;13;14;2;2;
LBU_05_16;14;15;2;2;
LBU_05_16;15;16;2;2;
LBU_05_16;16;17;2;2;
LBU_05_16;17;18;3.1;3.1;
LBU_05_16;18;19;3.1;3.1;
LBU_05_16;19;20;3.1;3.1;
LBU_05_16;20;21;3.25;3.2;
LBU_05_16;21;22;3.25;3.2;
LBU_05_16;22;23;3.25;3.2;
LBU_05_16;23;24;3.25;3.2;
LBU_05_16;24;25;3.25;3.2;
